"from","to"
"X.Eubacterium..fissicatena.group","Corynebacterium"
"X.Family..Succinivibrionaceae","Elusimicrobium"
"X.Family..Succinivibrionaceae","Treponema"
"X.Family..Succinivibrionaceae","dgA.11.gut.group"
"X.Family..Succinivibrionaceae","CAG.873"
"X.Family..Succinivibrionaceae","Rikenellaceae.RC9.gut.group"
"X.Family..Succinivibrionaceae","Phoenicibacter"
"X.Family..Succinivibrionaceae","Ligilactobacillus"
"X.Family..Succinivibrionaceae","Libanicoccus"
"X.Family..Succinivibrionaceae","X.Family..Atopobiaceae"
"GCA.900066755","UBA1819"
"GCA.900066755","Weissella"
"Hungatella","Finegoldia"
"X.Family..vadinBE97","X.Order..Clostridia.vadinBB60.group"
"Comamonas","Haemophilus"
"X.Class..Bacilli","Finegoldia"
"Gemella","Agathobacter"
"Catenibacillus","Candidatus.Stoquefichus"
"Rikenella","Anaeroplasma"
"Rikenella","Prevotellaceae.UCG.003"
"Rikenella","Sneathia"
"Finegoldia","Hungatella"
"Finegoldia","X.Class..Bacilli"
"Finegoldia","Fenollaria"
"Gordonibacter","Propionibacterium"
"Sneathia","Anaeroplasma"
"Sneathia","Prevotellaceae.UCG.003"
"Sneathia","Rikenella"
"Centipeda","Acetanaerobacterium"
"Phoenicibacter","Elusimicrobium"
"Phoenicibacter","Treponema"
"Phoenicibacter","dgA.11.gut.group"
"Phoenicibacter","CAG.873"
"Phoenicibacter","Rikenellaceae.RC9.gut.group"
"Phoenicibacter","X.Family..Succinivibrionaceae"
"Phoenicibacter","Ligilactobacillus"
"Phoenicibacter","Libanicoccus"
"Phoenicibacter","X.Family..Atopobiaceae"
"X.Family..Leptotrichiaceae","Limosilactobacillus"
"Christensenella","X.Order..Izemoplasmatales"
"Fenollaria","Finegoldia"
"Klebsiella","Coprobacillus"
"Klebsiella","Aggregatibacter"
"Corynebacterium","X.Eubacterium..fissicatena.group"
"X.Order..Chloroplast","X.Family..Lachnospiraceae"
"X.Order..DTU014","Peptococcus"
"Ligilactobacillus","Elusimicrobium"
"Ligilactobacillus","Treponema"
"Ligilactobacillus","dgA.11.gut.group"
"Ligilactobacillus","CAG.873"
"Ligilactobacillus","Rikenellaceae.RC9.gut.group"
"Ligilactobacillus","X.Family..Succinivibrionaceae"
"Ligilactobacillus","Phoenicibacter"
"Ligilactobacillus","Libanicoccus"
"Ligilactobacillus","X.Family..Atopobiaceae"
"Siccibacter","Eisenbergiella"
"Siccibacter","X.Order..Lactobacillales"
"Lachnospiraceae.FE2018.group","X.Eubacterium..xylanophilum.group"
"Capnocytophaga","Lachnospira"
"Aggregatibacter","Coprobacillus"
"Aggregatibacter","Klebsiella"
"Actinobacillus","Prevotella_9"
"Actinobacillus","X.Order..Gastranaerophilales"
"Acetanaerobacterium","Centipeda"
"Libanicoccus","Elusimicrobium"
"Libanicoccus","Treponema"
"Libanicoccus","dgA.11.gut.group"
"Libanicoccus","CAG.873"
"Libanicoccus","Rikenellaceae.RC9.gut.group"
"Libanicoccus","X.Family..Succinivibrionaceae"
"Libanicoccus","Phoenicibacter"
"Libanicoccus","Ligilactobacillus"
"Libanicoccus","X.Family..Atopobiaceae"
"X.Family..Atopobiaceae","Elusimicrobium"
"X.Family..Atopobiaceae","Treponema"
"X.Family..Atopobiaceae","dgA.11.gut.group"
"X.Family..Atopobiaceae","CAG.873"
"X.Family..Atopobiaceae","Rikenellaceae.RC9.gut.group"
"X.Family..Atopobiaceae","X.Family..Succinivibrionaceae"
"X.Family..Atopobiaceae","Phoenicibacter"
"X.Family..Atopobiaceae","Ligilactobacillus"
"X.Family..Atopobiaceae","Libanicoccus"
"X.Family..Puniceicoccaceae","Desulfovibrio"
"X.Family..Peptostreptococcaceae","X.Eubacterium..siraeum.group"
