"from","to"
"X.Anaerorhabdus..furcosa.group","X.Order..Coriobacteriales"
"Sneathia","Lachnospiraceae.UCG.009"
"X.Phylum..Firmicutes","Faecalicoccus"
"Centipeda","Campylobacter"
"Lacticaseibacillus","X.Eubacterium..hallii.group"
"X.Order..Chloroplast","Fusobacterium"
"CHKCI002","Merdibacter"
"Capnocytophaga","Bergeyella"
"Acetanaerobacterium","Paraprevotella"
"X.Order..Saccharimonadales","X.Family...Eubacterium..coprostanoligenes.group"
"X.Order..Saccharimonadales","Olsenella"
"X.Family..Puniceicoccaceae","Sutterella"
"X.Family..Puniceicoccaceae","X.Phylum..Proteobacteria"
"X.Family..Peptostreptococcaceae","X.Family..Rikenellaceae"
"X.Family..Rikenellaceae","Citrobacter"
"Pseudoflavonifractor","Intestinimonas"
